Frame, X_cm, Y_cm
519, 45.97, 10.34
520, 45.80, 9.73
521, 47.64, 10.55
522, 47.64, 10.55
523, 48.18, 11.06
524, 47.64, 10.55
525, 48.55, 10.96
526, 49.09, 11.47
527, 50.22, 11.17
528, 50.38, 11.78
529, 50.75, 11.68
530, 50.75, 11.68
531, 52.58, 12.50
532, 52.58, 12.50
533, 54.02, 13.41
534, 54.02, 13.41
535, 54.02, 13.41
536, 54.93, 13.81
537, 55.84, 14.22
538, 56.90, 15.22
539, 56.37, 14.72
540, 57.06, 15.82
541, 57.06, 15.82
542, 57.96, 16.22
543, 58.71, 16.03
544, 59.24, 16.53
545, 59.77, 17.03
546, 60.67, 17.43
547, 60.67, 17.43
548, 61.57, 17.83
549, 61.57, 17.83
550, 62.99, 18.73
551, 63.37, 18.63
552, 63.37, 18.63
553, 63.89, 19.13
554, 64.41, 19.62
555, 64.79, 19.53
556, 66.20, 20.42
557, 66.20, 20.42
558, 66.57, 20.32
559, 66.95, 20.23
560, 66.95, 20.23
561, 68.36, 21.12
562, 68.88, 21.61
563, 68.88, 21.61
564, 70.00, 21.33
565, 70.00, 21.33
566, 71.78, 22.12
567, 71.78, 22.12
568, 72.29, 22.61
569, 73.04, 22.43
570, 73.55, 22.92
571, 73.55, 22.92
572, 74.44, 23.31
573, 76.81, 23.33
574, 76.81, 23.33
575, 76.21, 24.10
576, 76.21, 24.10
577, 77.83, 24.31
578, 77.83, 24.31
579, 77.83, 24.31
580, 79.23, 25.19
581, 79.23, 25.19
582, 80.34, 24.91
583, 80.34, 24.91
584, 80.85, 25.40
585, 81.22, 25.30
586, 82.85, 25.51
587, 83.36, 26.00
588, 83.73, 25.90
589, 84.47, 25.72
590, 85.35, 26.11
591, 85.35, 26.11
592, 85.35, 26.11
593, 86.97, 26.32
594, 86.97, 26.32
595, 88.22, 26.62
596, 88.60, 26.52
597, 88.60, 26.52
598, 89.47, 26.92
599, 90.22, 26.73
600, 91.34, 26.45
601, 91.34, 26.45
602, 91.71, 26.36
603, 92.84, 26.08
604, 92.84, 26.08
605, 94.58, 26.86
606, 94.58, 26.86
607, 95.71, 26.58
608, 95.71, 26.58
609, 96.08, 26.49
610, 96.46, 26.40
611, 97.33, 26.79
612, 97.70, 26.70
613, 98.45, 26.51
614, 99.20, 26.32
615, 99.20, 26.32
616, 100.07, 26.72
617, 100.33, 26.05
618, 101.20, 26.44
619, 101.58, 26.34
620, 102.45, 26.74
621, 103.58, 26.46
622, 103.46, 25.88
623, 104.21, 25.69
624, 104.21, 25.69
625, 105.95, 26.48
626, 106.82, 26.87
627, 107.35, 25.53
628, 107.84, 26.01
629, 107.84, 26.01
630, 108.21, 25.92
631, 109.83, 26.13
632, 110.48, 25.36
633, 110.97, 25.85
634, 111.24, 25.17
635, 111.24, 25.17
636, 112.00, 24.98
637, 112.37, 24.89
638, 113.13, 24.70
639, 114.00, 25.10
640, 114.10, 25.68
641, 114.97, 26.07
642, 115.35, 25.98
643, 116.00, 25.21
644, 116.86, 25.61
645, 117.35, 26.09
646, 118.00, 25.33
647, 118.00, 25.33
648, 118.76, 25.14
649, 119.62, 25.53
650, 120.38, 25.35
651, 121.24, 25.74
652, 121.72, 26.23
653, 122.00, 25.55
654, 122.00, 25.55
655, 122.39, 25.46
656, 123.91, 25.08
657, 123.91, 25.08
658, 125.05, 24.80
659, 125.43, 24.71
660, 125.43, 24.71
661, 126.67, 25.01
662, 127.15, 25.50
663, 127.53, 25.41
664, 128.59, 24.54
665, 128.59, 24.54
666, 129.06, 25.03
667, 129.54, 25.52
668, 130.59, 24.66
669, 131.06, 25.14
670, 132.30, 25.45
671, 132.30, 25.45
672, 133.36, 24.58
673, 133.36, 24.58
674, 134.78, 26.05
675, 134.78, 26.05
676, 135.16, 25.95
677, 136.69, 25.58
678, 136.69, 25.58
679, 137.37, 24.81
680, 138.22, 25.20
681, 138.61, 25.11
682, 138.61, 25.11
683, 139.38, 24.92
684, 139.38, 24.92
685, 140.14, 24.74
686, 140.91, 24.55
687, 141.85, 25.53
688, 142.62, 25.34
689, 143.00, 25.24
690, 143.69, 24.47
691, 143.69, 24.47
692, 144.16, 24.96
693, 144.93, 24.78
694, 144.93, 24.78
695, 145.77, 25.17
696, 147.32, 24.80
697, 148.09, 24.61
698, 148.09, 24.61
699, 148.55, 25.10
700, 149.01, 25.59
701, 149.86, 25.98
702, 150.17, 25.31
703, 151.40, 25.61
704, 151.40, 25.61
705, 152.25, 26.00
706, 152.95, 25.23
707, 153.72, 25.04
708, 153.72, 25.04
709, 154.49, 24.86
710, 154.88, 24.76
711, 155.27, 24.67
712, 156.11, 25.06
713, 156.96, 25.46
714, 157.73, 25.27
715, 158.44, 24.50
716, 158.44, 24.50
717, 159.22, 24.31
718, 160.45, 24.61
719, 160.45, 24.61
720, 161.29, 25.01
721, 162.00, 24.24
722, 162.00, 24.24
723, 162.78, 24.05
724, 162.91, 25.22
725, 164.07, 24.94
726, 164.07, 24.94
727, 165.63, 24.56
728, 165.63, 24.56
729, 166.41, 24.37
730, 166.86, 24.86
731, 167.58, 24.09
732, 168.42, 24.49
733, 168.48, 25.07
734, 169.20, 24.30
735, 170.04, 24.69
736, 170.04, 24.69
737, 170.76, 23.92
738, 171.99, 24.22
739, 172.38, 24.13
740, 173.16, 23.94
741, 173.55, 23.85
742, 174.39, 24.24
743, 174.78, 24.15
744, 175.56, 23.96
745, 176.01, 24.45
746, 176.01, 24.45
747, 177.23, 24.75
748, 178.41, 24.47
749, 178.41, 24.47
750, 178.36, 23.89
751, 178.36, 23.89
752, 178.36, 23.89
753, 178.41, 24.47
754, 178.41, 24.47
755, 178.41, 24.47
756, 178.41, 24.47
757, 178.41, 24.47
758, 178.41, 24.47
759, 178.41, 24.47
760, 178.41, 24.47
761, 178.41, 24.47
762, 178.41, 24.47
763, 178.41, 24.47
764, 178.41, 24.47
765, 178.41, 24.47
766, 178.41, 24.47
767, 178.41, 24.47
768, 178.41, 24.47
769, 178.41, 24.47
