rows: 288
554196,-656833,-848170
542671,-673814,-843200
530318,-691405,-851483
516359,-707424,-862665
500818,-721554,-872605
485525,-734873,-869706
469344,-748271,-877989
451456,-760182,-889585
432525,-769825,-901595
412091,-777230,-913605
392696,-783154,-910706
372832,-789205,-916918
352022,-793488,-928100
331101,-795362,-937212
310870,-796775,-934313
289886,-797760,-942595
268187,-796533,-953777
247264,-792840,-965788
227598,-787887,-965374
207286,-783552,-964960
186838,-777773,-975313
167140,-769808,-986495
148473,-760703,-986081
129615,-752605,-982768
110656,-743560,-991879
92483,-733011,-994364
74531,-723584,-988152
55790,-713562,-996020
37968,-701979,-1001404
20676,-691394,-993535
2369,-680596,-999748
-14773,-668451,-1005546
-31540,-657049,-998505
-49347,-645444,-1003889
-65882,-632489,-1012172
-81582,-620047,-1005546
-98632,-608188,-1004303
-115564,-594948,-1014243
-131314,-581038,-1012586
-147401,-568293,-1009273
-163501,-554425,-1018798
-178032,-538922,-1029152
-191148,-523777,-1025010
-205531,-508795,-1024596
-219331,-492635,-1033293
-231859,-476377,-1031636
-245186,-461096,-1025424
-259138,-444743,-1033707
-271396,-427088,-1044475
-281670,-409040,-1047374
-292134,-392245,-1041162
-303343,-373902,-1049445
-312438,-354970,-1060212
-320097,-335928,-1059384
-328806,-317075,-1055657
-336953,-297448,-1065182
-343192,-276628,-1076364
-346913,-255709,-1087546
-349469,-235591,-1084647
-352030,-214738,-1091274
-352615,-193499,-1102456
-350647,-172100,-1114880
-346148,-151587,-1127304
-340073,-131727,-1127719
-334343,-112274,-1131446
-326611,-92220,-1141386
-316961,-73566,-1152982
-305660,-55852,-1156295
-294976,-38043,-1153396
-283294,-20292,-1162921
-269578,-3747,-1174517
-254334,10698,-1186942
-237197,23252,-1199780
-218588,33499,-1212619
-199850,41873,-1213447
-181301,51212,-1209720
-161940,59971,-1219245
-141509,66637,-1230841
-121266,71280,-1233740
-101702,76608,-1227528
-81146,82003,-1235397
-60171,85413,-1244094
-40371,88461,-1238296
-19394,91881,-1244508
2049,93329,-1255276
23279,92428,-1264801
43530,91396,-1258589
64525,90600,-1264387
85843,87868,-1275155
106473,82790,-1287165
126291,75139,-1300004
144734,66133,-1300832
163224,57802,-1300418
182009,47871,-1310772
199344,36438,-1316155
216510,25648,-1308287
235046,15752,-1306630
253201,4708,-1316155
